365.346,2.2435
365.5582,0.0581
372.7818,1.976
371.1552,-0.4363
370.4228,-0.1973
372.8565,0.657
374.5548,0.4555
373.8022,-0.2009
365.346,-2.2622
366.1947,0.2323
361.2746,-1.3436
359.3197,-0.5411
355.8796,-0.9574
355.0512,-0.2328
374.5649,5.496
380.7934,1.6629
380.7126,-0.0212
379.2274,-0.3901
380.7176,0.393
380.7934,0.0199
381.7329,0.2467
391.7904,2.6347
383.4151,-2.1377
386.8097,0.8854
389.0474,0.5785
390.9569,0.4908
396.7257,1.4756
395.2355,-0.3756
394.3666,-0.2198
395.4577,0.2767
397.9633,0.6336
400.5243,0.6435
407.5762,1.7607
400.3071,-1.7835
401.8579,0.3874
403.9694,0.5254
399.4534,-1.1179
399.1301,-0.0809
404.0048,1.2213
404.7221,0.1775
407.2428,0.6228
414.9786,1.8996
423.6165,2.0815
419.9674,-0.8614
420.5816,0.1462
420.0381,-0.1292
421.7051,0.3969
418.063,-0.8637
416.9011,-0.2779
414.9967,-0.4568
411.3405,-0.881
408.051,-0.7997
409.8342,0.437
411.5456,0.4176
409.8039,-0.4232
409.324,-0.1171
408.9855,-0.0827
410.3898,0.3434
405.4596,-1.2013
401.18,-1.0555
404.717,0.8816
410.703,1.4791
407.2488,-0.841
401.6256,-1.3808
395.5537,-1.5118
391.4115,-1.0472
392.8259,0.3614
399.1554,1.6113
399.2615,0.0266
399.0897,-0.043
394.988,-1.0278
400.7668,1.463
395.3062,-1.3625
386.8976,-2.1271
404.0503,4.4334
404.1735,0.0305
408.1066,0.9731
410.9121,0.6874
408.7127,-0.5352
404.8332,-0.9492
413.744,2.2011
416.5273,0.6727
414.436,-0.5021
419.0733,1.1189
427.2111,1.9419
435.2076,1.8718
433.0254,-0.5014
441.3097,1.9131
440.2237,-0.2461
444.6437,1.004
443.2798,-0.3067
448.114,1.0906
462.6572,3.2454
456.5853,-1.3124
459.2676,0.5875
458.9393,-0.0715
458.1513,-0.1717
449.286,-1.935
445.9369,-0.7454
441.1531,-1.0728
445.169,0.9103
438.6224,-1.4706
439.86,0.2822
440.0913,0.0526
438.2789,-0.4118
433.97,-0.9831
434.2731,0.0698
436.7685,0.5746
444.3911,1.7452
449.6901,1.1924
444.4315,-1.1694
440.4762,-0.89
443.0121,0.5757
442.022,-0.2235
447.6847,1.2811
454.9436,1.6214
454.9739,0.0067
446.9219,-1.7698
444.9973,-0.4306
439.37,-1.2646
437.5565,-0.4128
441.3198,0.8601
443.0474,0.3915
444.7144,0.3763
448.5081,0.8531
445.6944,-0.6273
447.7756,0.467
451.3419,0.7964
457.2016,1.2983
457.2774,0.0166
457.6562,0.0828
464.8545,1.5729
466.2487,0.2999
467.1024,0.1831
464.5353,-0.5496
464.0008,-0.1151
460.0254,-0.8568
452.9119,-1.5463
460.0355,1.5728
456.55,-0.7577
456.0953,-0.0996
448.4171,-1.6835
447.23,-0.2647
445.6742,-0.3479
450.0437,0.9804
